#{"t_start": 1781618837.2587357, "env_id": "None"}
r,l,t
23.730774,480,4.005565
15.091937,480,10.099338
21.097958,480,15.853264
24.803874,480,21.241109
23.191342,480,27.321511
23.596722,480,33.088354
22.54706,480,38.715832
21.293946,480,44.166678
22.334576,480,49.666899
33.28645,480,55.121652
14.316956,480,60.240301
1.34555,480,65.536205
16.061374,480,70.330927
27.016476,480,75.076773
9.027224,480,80.031075
34.530629,480,85.056598
11.386774,480,90.130706
26.414386,480,95.355348
17.496173,480,100.149984
33.164082,480,105.549713
11.787229,480,179.306049
18.747497,480,184.612071
19.899195,480,189.857051
6.96203,480,195.278838
26.625688,480,200.347712
11.951359,480,205.625035
24.093489,480,210.96175
24.194805,480,216.149541
15.157359,480,221.233943
22.327987,480,226.475659
23.158665,480,231.595407
10.026556,480,236.828942
16.354184,480,241.779704
7.311779,480,246.779847
17.862245,480,251.944208
26.357822,480,257.221302
12.490465,480,262.222511
18.771871,480,267.213884
23.713007,480,272.182068
16.047769,480,277.167433
15.224174,480,282.498845
6.802365,480,287.862544
1.777666,480,293.30971
1.204378,480,298.250425
17.2131,480,303.551157
5.060681,480,308.554648
9.17724,480,313.671834
-4.275292,480,318.853478
-10.229947,480,323.956875
-10.364954,480,328.967683
-7.583639,480,333.973516
-24.473531,480,338.940632
-2.658655,480,344.049046
-20.901328,480,349.130025
-2.922406,480,354.520459
-22.477186,480,359.817753
-30.393516,480,364.995623
-15.250764,480,370.199912
-14.441268,480,375.657363
-25.462142,480,380.872197
-14.560776,480,386.28902
-13.129719,480,392.014799
-14.645504,480,397.347987
-35.451273,480,403.470508
-46.381483,480,409.40422
-30.400477,480,414.989977
-32.171803,480,420.461286
-14.394466,480,426.422248
-14.912455,480,431.792622
-21.674508,480,437.333864
-15.223443,480,442.853029
-22.67298,480,448.354416
-33.49287,480,453.788676
-34.179075,480,459.193298
-24.049795,480,465.766144
-22.548181,480,471.64068
-2.758846,480,476.905848
-4.267171,480,481.872999
2.059276,480,486.194899
-0.847751,480,492.053491
-9.964397,480,498.16142
-0.289531,480,503.425757
